event,user,status
Python Workshop,Ali,approved
AI Conference,Dana,pending
AI Conference,Derrick Larson,rejected
Hackathon,Cheryl Logan,pending
Hackathon,Amanda Harrison,rejected
AI Conference,Donna Collier,rejected
AI Conference,Melissa King,rejected
AI Conference,Javier Horn,rejected
AI Conference,Andres Washington,pending
Hackathon,Tiffany Thomas,pending
Python Workshop,Nancy Peters,rejected
Python Workshop,Amber Reeves,approved
Python Workshop,Mr. George Li,pending
AI Conference,Heather Moore,rejected
Hackathon,Geoffrey Richards,rejected
Hackathon,Lee Conway,rejected
Hackathon,Mary Williams,approved
AI Conference,Taylor Kennedy,approved
Hackathon,Angel Avery,approved
Python Workshop,Christina Contreras,rejected
AI Conference,Nathan Jones,pending
Python Workshop,Jacob Scott,pending
Hackathon,Edwin Fernandez,rejected
AI Conference,Denise Sullivan,approved
Hackathon,Kirsten Nichols,approved
Hackathon,Justin Wise,pending
AI Conference,Harold Little,approved
AI Conference,Allison Carter,approved
Python Workshop,Daniel Lawson,approved
Python Workshop,Tiffany Rodriguez,rejected
Python Workshop,Cathy Jones,rejected
AI Conference,Brendan Rogers,pending
